targetId,diseaseId,novelty,datatypeId,datasourceId,therapeuticAreaName,diseaseName,targetBiotype,targetSymbol
ENSG00000169016,EFO_0000181,0.575,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,E2F6
ENSG00000110944,EFO_0000181,0.552,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,IL23A
ENSG00000134086,EFO_0000181,0.549,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,VHL
ENSG00000168542,EFO_0000181,0.714,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,COL3A1
ENSG00000164932,EFO_0000181,0.554,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,CTHRC1
ENSG00000163577,EFO_0000181,0.582,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,EIF5A2
ENSG00000126895,EFO_0000181,0.597,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,AVPR2
ENSG00000120594,EFO_0000181,0.454,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,PLXDC2
ENSG00000161405,EFO_0000181,0.575,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,IKZF3
ENSG00000152672,EFO_0000181,0.411,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,CLEC4F
ENSG00000072110,EFO_0000181,0.538,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,ACTN1
ENSG00000135679,EFO_0000181,0.465,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,MDM2
ENSG00000100029,EFO_0000181,0.597,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,PES1
ENSG00000204610,EFO_0000182,0.575,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,TRIM15
ENSG00000198369,EFO_0000182,0.541,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,SPRED2
ENSG00000010379,EFO_0000182,0.449,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,SLC6A13
ENSG00000164211,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,STARD4
ENSG00000128731,EFO_0000182,0.575,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,HERC2
ENSG00000105866,EFO_0000182,0.452,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,SP4
ENSG00000103811,EFO_0000182,0.482,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CTSH
ENSG00000150455,EFO_0000182,0.49,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,TIRAP
ENSG00000117523,EFO_0000182,0.415,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PRRC2C
ENSG00000138095,EFO_0000182,0.417,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,LRPPRC
ENSG00000198646,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,NCOA6
ENSG00000188739,EFO_0000182,0.562,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RBM34
ENSG00000083457,EFO_0000182,0.534,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ITGAE
ENSG00000146733,EFO_0000182,0.402,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PSPH
ENSG00000129465,EFO_0000182,0.446,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RIPK3
ENSG00000117115,EFO_0000182,0.6,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PADI2
ENSG00000185920,EFO_0000182,0.442,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PTCH1
ENSG00000142185,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,TRPM2
ENSG00000071794,EFO_0000182,0.621,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,HLTF
ENSG00000162073,EFO_0000182,0.42,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PAQR4
ENSG00000171310,EFO_0000182,0.443,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CHST11
ENSG00000124209,EFO_0000182,0.57,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RAB22A
ENSG00000197153,EFO_0000182,0.453,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,H3C12
ENSG00000174332,EFO_0000182,0.525,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,GLIS1
ENSG00000163872,EFO_0000182,0.539,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,YEATS2
ENSG00000153774,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CFDP1
ENSG00000113761,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ZNF346
ENSG00000138382,EFO_0000182,0.442,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,METTL5
ENSG00000001036,EFO_0000182,0.567,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,FUCA2
ENSG00000185105,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,MYADML2
ENSG00000088256,EFO_0000182,0.501,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,GNA11
ENSG00000186020,EFO_0000182,0.539,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ZNF529
ENSG00000162702,EFO_0000182,0.443,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ZNF281
ENSG00000277209,EFO_0000182,0.575,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,ribozyme,RPPH1
ENSG00000071859,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,FAM50A
ENSG00000118939,EFO_0000182,0.575,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,UCHL3
ENSG00000113318,EFO_0000182,0.532,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,MSH3
ENSG00000109511,EFO_0000182,0.477,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ANXA10
ENSG00000047849,EFO_0000182,0.576,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,MAP4
ENSG00000217555,EFO_0000182,0.449,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CKLF
ENSG00000137285,EFO_0000182,0.428,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,TUBB2B
ENSG00000266265,EFO_0000182,0.565,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,KLF14
ENSG00000176153,EFO_0000182,0.471,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,GPX2
ENSG00000267534,EFO_0000182,0.47,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,S1PR2
ENSG00000205629,EFO_0000182,0.454,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,LCMT1
ENSG00000136448,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,NMT1
ENSG00000104177,EFO_0000182,0.575,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,MYEF2
ENSG00000006634,EFO_0000182,0.454,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,DBF4
ENSG00000168404,EFO_0000182,0.504,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,MLKL
ENSG00000166407,EFO_0000182,0.412,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,LMO1
ENSG00000147010,EFO_0000182,0.406,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,SH3KBP1
ENSG00000144713,EFO_0000182,0.406,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RPL32
ENSG00000197381,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ADARB1
ENSG00000138326,EFO_0000182,0.564,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RPS24
ENSG00000109920,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,FNBP4
ENSG00000102309,EFO_0000182,0.514,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PIN4
ENSG00000198848,EFO_0000182,0.455,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CES1
ENSG00000146250,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PRSS35
ENSG00000138755,EFO_0000182,0.402,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,CXCL9
ENSG00000123473,EFO_0000182,0.617,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,STIL
ENSG00000151693,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ASAP2
ENSG00000072952,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,IRAG1
ENSG00000228393,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,lncRNA,LINC01004
ENSG00000162236,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,STX5
ENSG00000146066,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,HIGD2A
ENSG00000058804,EFO_0000182,0.6,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,NDC1
ENSG00000173744,EFO_0000182,0.528,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,AGFG1
ENSG00000160209,EFO_0000182,0.572,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,PDXK
ENSG00000156509,EFO_0000182,0.733,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,FBXO43
ENSG00000104221,EFO_0000182,0.579,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,BRF2
ENSG00000161642,EFO_0000182,0.597,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,ZNF385A
ENSG00000143545,EFO_0000182,0.746,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,RAB13
ENSG00000147862,EFO_0000182,0.47,literature,europepmc,cancer or benign tumor,hepatocellular carcinoma,protein_coding,NFIB
ENSG00000168959,EFO_0000183,0.545,literature,europepmc,cancer or benign tumor,Hodgkins lymphoma,protein_coding,GRM5
ENSG00000118785,EFO_0000195,0.426,literature,europepmc,nutritional or metabolic disease,metabolic syndrome,protein_coding,SPP1
ENSG00000086991,EFO_0000195,0.419,literature,europepmc,nutritional or metabolic disease,metabolic syndrome,protein_coding,NOX4
ENSG00000083444,EFO_0000195,0.456,literature,europepmc,nutritional or metabolic disease,metabolic syndrome,protein_coding,PLOD1
ENSG00000183780,EFO_0000195,0.471,literature,europepmc,nutritional or metabolic disease,metabolic syndrome,protein_coding,SLC35F3
ENSG00000240403,EFO_0000198,0.507,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,KIR3DL2
ENSG00000118271,EFO_0000198,0.525,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,TTR
ENSG00000128052,EFO_0000198,0.476,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,KDR
ENSG00000239732,EFO_0000198,0.525,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,TLR9
ENSG00000182492,EFO_0000198,0.597,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,BGN
ENSG00000102755,EFO_0000198,0.401,literature,europepmc,cancer or benign tumor,myelodysplastic syndrome,protein_coding,FLT1
ENSG00000187498,EFO_0000199,0.555,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,COL4A1
ENSG00000136861,EFO_0000199,0.597,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,CDK5RAP2
ENSG00000111642,EFO_0000199,0.588,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,CHD4
ENSG00000189409,EFO_0000199,0.485,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,MMP23B
ENSG00000152904,EFO_0000199,0.496,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,GGPS1
ENSG00000144908,EFO_0000199,0.597,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,ALDH1L1
ENSG00000170477,EFO_0000199,0.525,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,KRT4
ENSG00000129559,EFO_0000199,0.539,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,NEDD8
ENSG00000140937,EFO_0000199,0.524,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,CDH11
ENSG00000153283,EFO_0000199,0.571,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,CD96
ENSG00000112658,EFO_0000199,0.573,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,SRF
ENSG00000162366,EFO_0000199,0.597,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,PDZK1IP1
ENSG00000127616,EFO_0000199,0.588,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,SMARCA4
ENSG00000115415,EFO_0000199,0.46,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,STAT1
ENSG00000137265,EFO_0000199,0.597,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,IRF4
ENSG00000168079,EFO_0000199,0.543,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,SCARA5
ENSG00000170522,EFO_0000199,0.543,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,ELOVL6
ENSG00000075239,EFO_0000199,0.597,literature,europepmc,cancer or benign tumor,oral squamous cell carcinoma,protein_coding,ACAT1
ENSG00000152457,EFO_0000220,0.581,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,DCLRE1C
ENSG00000204475,EFO_0000220,0.449,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,NCR3
ENSG00000140968,EFO_0000220,0.47,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,IRF8
ENSG00000069493,EFO_0000220,0.588,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,CLEC2D
ENSG00000111321,EFO_0000220,0.513,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,LTBR
ENSG00000227507,EFO_0000220,0.507,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,LTB
ENSG00000140718,EFO_0000220,0.427,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,FTO
ENSG00000083857,EFO_0000220,0.405,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,FAT1
ENSG00000026751,EFO_0000220,0.462,literature,europepmc,cancer or benign tumor,acute lymphoblastic leukemia,protein_coding,SLAMF7
ENSG00000196141,EFO_0000222,0.557,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,SPATS2L
ENSG00000005187,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,ACSM3
ENSG00000065320,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,NTN1
ENSG00000204613,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,TRIM10
ENSG00000100097,EFO_0000222,0.461,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,LGALS1
ENSG00000087470,EFO_0000222,0.579,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,DNM1L
ENSG00000140988,EFO_0000222,0.566,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,RPS2
ENSG00000185585,EFO_0000222,0.514,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,OLFML2A
ENSG00000141905,EFO_0000222,0.552,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,NFIC
ENSG00000108405,EFO_0000222,0.588,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,P2RX1
ENSG00000110057,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,UNC93B1
ENSG00000120937,EFO_0000222,0.43,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,NPPB
ENSG00000110987,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,BCL7A
ENSG00000167196,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,FBXO22
ENSG00000134853,EFO_0000222,0.452,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,PDGFRA
ENSG00000126012,EFO_0000222,0.575,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,KDM5C
ENSG00000070193,EFO_0000222,0.497,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,FGF10
ENSG00000064205,EFO_0000222,0.597,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,CCN5
ENSG00000178562,EFO_0000222,0.437,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,CD28
ENSG00000197714,EFO_0000222,0.465,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,ZNF460
ENSG00000180198,EFO_0000222,0.427,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,RCC1
ENSG00000113810,EFO_0000222,0.402,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,SMC4
ENSG00000188529,EFO_0000222,0.504,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,SRSF10
ENSG00000129675,EFO_0000222,0.553,literature,europepmc,cancer or benign tumor,acute myeloid leukemia,protein_coding,ARHGEF6
ENSG00000125398,EFO_0000232,0.418,literature,europepmc,cancer or benign tumor,adenoma,protein_coding,SOX9
ENSG00000100393,EFO_0000275,0.526,literature,europepmc,cardiovascular disease,atrial fibrillation,protein_coding,EP300
ENSG00000079337,EFO_0000275,0.518,literature,europepmc,cardiovascular disease,atrial fibrillation,protein_coding,RAPGEF3
ENSG00000135318,EFO_0000278,0.418,literature,europepmc,pancreas disease,pancreatitis,protein_coding,NT5E
ENSG00000170498,EFO_0000284,0.577,literature,europepmc,cancer or benign tumor,benign prostatic hyperplasia,protein_coding,KISS1
ENSG00000164985,EFO_0000284,0.488,literature,europepmc,cancer or benign tumor,benign prostatic hyperplasia,protein_coding,PSIP1
ENSG00000153956,EFO_0000305,0.43,genetic_association,eva,cancer or benign tumor,breast carcinoma,protein_coding,CACNA2D1
ENSG00000121879,EFO_0000305,0.537,somatic_mutation,eva_somatic,cancer or benign tumor,breast carcinoma,protein_coding,PIK3CA
ENSG00000135077,EFO_0000305,0.581,literature,europepmc,cancer or benign tumor,breast carcinoma,protein_coding,HAVCR2
ENSG00000141510,EFO_0000305,0.418,somatic_mutation,eva_somatic,cancer or benign tumor,breast carcinoma,protein_coding,TP53
ENSG00000120802,EFO_0000318,0.456,literature,europepmc,cardiovascular disease,cardiomyopathy,protein_coding,TMPO
ENSG00000137573,EFO_0000333,0.583,literature,europepmc,cancer or benign tumor,chondrosarcoma,protein_coding,SULF1
ENSG00000099194,EFO_0000339,0.53,literature,europepmc,cancer or benign tumor,chronic myelogenous leukemia,protein_coding,SCD
ENSG00000196689,EFO_0000339,0.409,literature,europepmc,cancer or benign tumor,chronic myelogenous leukemia,protein_coding,TRPV1
ENSG00000137672,EFO_0000341,0.567,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,TRPC6
ENSG00000091164,EFO_0000341,0.465,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,TXNL1
ENSG00000068366,EFO_0000341,0.531,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,ACSL4
ENSG00000104921,EFO_0000341,0.471,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,FCER2
ENSG00000110090,EFO_0000341,0.533,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,CPT1A
ENSG00000065833,EFO_0000341,0.519,literature,europepmc,respiratory or thoracic disease,chronic obstructive pulmonary disease,protein_coding,ME1
ENSG00000185215,EFO_0000400,0.597,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,TNFAIP2
ENSG00000160791,EFO_0000400,0.495,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,CCR5
ENSG00000271503,EFO_0000400,0.429,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,CCL5
ENSG00000130164,EFO_0000400,0.86,genetic_association,gene_burden,pancreas disease,diabetes mellitus,protein_coding,LDLR
ENSG00000107201,EFO_0000400,0.479,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,RIGI
ENSG00000136235,EFO_0000400,0.566,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,GPNMB
ENSG00000234066,EFO_0000400,0.476,literature,europepmc,pancreas disease,diabetes mellitus,unitary_pseudogene,TAS2R62P
ENSG00000174885,EFO_0000400,0.514,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,NLRP6
ENSG00000164400,EFO_0000400,0.476,literature,europepmc,pancreas disease,diabetes mellitus,protein_coding,CSF2
ENSG00000112115,EFO_0000401,0.465,literature,europepmc,urinary system disease,diabetic nephropathy,protein_coding,IL17A
ENSG00000124523,EFO_0000401,0.575,literature,europepmc,urinary system disease,diabetic nephropathy,protein_coding,SIRT5
ENSG00000187097,EFO_0000401,0.597,literature,europepmc,urinary system disease,diabetic nephropathy,protein_coding,ENTPD5
