drugId,drug,firstApprovalYear
CHEMBL635,PREDNISONE,1955
CHEMBL666,FOSCARNET,1991
CHEMBL27810,CELIPROLOL,None
CHEMBL567,PERPHENAZINE,1957
CHEMBL719,MUPIROCIN,1987
CHEMBL631,PROPAFENONE,1989
CHEMBL17860,LOFEXIDINE,2018
CHEMBL668,PROTRIPTYLINE,1967
CHEMBL24441,BETAHISTINE,None
CHEMBL690,PRAVASTATIN SODIUM,1991
CHEMBL711,PHENINDIONE,1982
CHEMBL660,AMANTADINE,1968
CHEMBL604,CUPRIC SULFATE,1987
CHEMBL1201863,DEXLANSOPRAZOLE,2009
CHEMBL790,CHLORHEXIDINE,1976
CHEMBL803,CYTARABINE,1969
CHEMBL802,MINOXIDIL,1979
CHEMBL36715,PIRACETAM,None
CHEMBL786,TAMOXIFEN CITRATE,1977
CHEMBL813,EPROSARTAN,1997
CHEMBL830,EFLORNITHINE,1990
CHEMBL741,LAMOTRIGINE,1994
CHEMBL1311,ISOSORBIDE MONONITRATE,1991
CHEMBL1231,OXYBUTYNIN,1975
CHEMBL1265,ADAPALENE,1996
CHEMBL139877,SULFACARBAMIDE,None
CHEMBL1243,SULFABENZAMIDE,1945
CHEMBL1279,FROVATRIPTAN,2001
CHEMBL1321,PROCARBAZINE,1969
CHEMBL617,CEPHALOTHIN,1974
CHEMBL645,BISOPROLOL,1992
CHEMBL513,CARMUSTINE,1977
CHEMBL277062,BROMAZEPAM,None
CHEMBL612,DEXTROAMPHETAMINE,1955
CHEMBL282724,SITAXENTAN,2006
CHEMBL667,ACETYLCHOLINE,1973
CHEMBL904,DEXMETHYLPHENIDATE HYDROCHLORIDE,2001
CHEMBL679,EPINEPHRINE,1976
CHEMBL1536,ERGOCALCIFEROL,1941
CHEMBL121,ROSIGLITAZONE,1999
CHEMBL277535,BIFONAZOLE,None
CHEMBL122,ROFECOXIB,1999
CHEMBL113,CAFFEINE,1948
CHEMBL585,TRIAMTERENE,1964
CHEMBL548,DINOPROSTONE,1977
CHEMBL625,THIABENDAZOLE,1967
CHEMBL278020,NEOSTIGMINE,2013
CHEMBL118,CELECOXIB,1998
CHEMBL279516,INDORAMIN,None
CHEMBL620,CLIDINIUM,1982
CHEMBL282052,METHAQUALONE,None
CHEMBL282121,MEBEVERINE,None
CHEMBL573,NIACIN,None
CHEMBL70,MORPHINE,1984
CHEMBL278172,BENZOCAINE,None
CHEMBL562,GRISEOFULVIN,1962
CHEMBL629,AMITRIPTYLINE,1961
CHEMBL673,PARGYLINE,1982
CHEMBL530,AMDINOCILLIN,1984
CHEMBL500,PINDOLOL,1982
CHEMBL588,FENOLDOPAM,1997
CHEMBL713,ENTECAVIR ANHYDROUS,2005
CHEMBL688,FENTANYL CITRATE,1968
CHEMBL1551,URSODIOL,1987
CHEMBL1532,QUINETHAZONE,1963
CHEMBL529,AZITHROMYCIN,1991
CHEMBL1544,LIOTHYRONINE,1956
CHEMBL572,NITROFURANTOIN,1953
CHEMBL282468,CHOLINE CHLORIDE,2012
CHEMBL714,ALBUTEROL,1981
CHEMBL582,ISOPROPYL ALCOHOL,2000
CHEMBL278819,MINAPRINE,None
CHEMBL387675,DAPTOMYCIN,2003
CHEMBL1421,DASATINIB,2006
CHEMBL388590,BENZBROMARONE,None
CHEMBL400599,BENFLUOREX,1974
CHEMBL395091,ESKETAMINE,2019
CHEMBL1482,BETHANECHOL,1948
CHEMBL1512,FLUNISOLIDE,1981
CHEMBL404520,CHLORTETRACYCLINE,1950
CHEMBL395429,OXYTOCIN,1980
CHEMBL396416,CARBOCYSTEINE,None
CHEMBL1514,LEVOMETHADYL ACETATE,1993
CHEMBL1511,ESTRADIOL VALERATE,2010
CHEMBL393220,ATORVASTATIN CALCIUM,1996
CHEMBL1007,GONADORELIN,1982
CHEMBL193,NIFEDIPINE,1981
CHEMBL1577,METHYCLOTHIAZIDE,1960
CHEMBL503160,FUMARIC ACID,None
CHEMBL501867,VINCRISTINE SULFATE,1963
CHEMBL509924,DIFLUCORTOLONE,None
CHEMBL512351,BETRIXABAN,2017
CHEMBL1646,INDOCYANINE GREEN,1959
CHEMBL507674,CEFOPERAZONE,1982
CHEMBL515914,AZARIBINE,None
CHEMBL508102,CARBIMAZOLE,None
CHEMBL1702,ATOMOXETINE HYDROCHLORIDE,2002
CHEMBL461332,FLUCLORONIDE,None
CHEMBL1015,EVANS BLUE FREE ACID,None
CHEMBL1201828,ECULIZUMAB,2007
CHEMBL1201056,SULFACYTINE,1975
CHEMBL1200733,DESFLURANE,1992
CHEMBL471737,IVABRADINE,2015
CHEMBL452231,TENIPOSIDE,1992
CHEMBL1752,DYPHYLLINE,1951
CHEMBL595,PIOGLITAZONE,1999
CHEMBL1201532,THYROTROPIN,1953
CHEMBL249856,ENOXIMONE,None
CHEMBL1486,TENOFOVIR DISOPROXIL FUMARATE,2001
CHEMBL90593,PRASTERONE,2016
CHEMBL11,IMIPRAMINE,1959
CHEMBL1739,METOCURINE IODIDE,1982
CHEMBL1654,RISEDRONATE SODIUM,1998
CHEMBL626,NAFTIFINE,1988
CHEMBL1558,PRAZOSIN HYDROCHLORIDE,1976
CHEMBL1201891,DEFLAZACORT,2017
CHEMBL38827,LUMEFANTRINE,2009
CHEMBL1355,SODIUM CITRATE,1983
CHEMBL1237044,TRAMADOL,1995
CHEMBL41355,EZOGABINE,2011
CHEMBL829,METHYLPROMAZINE,1982
CHEMBL6437,MIANSERIN,None
CHEMBL1090,VIDARABINE,1976
CHEMBL934,METYRAPONE,1961
CHEMBL238071,VINDESINE,None
CHEMBL282042,SAQUINAVIR MESYLATE,1995
CHEMBL22242,REMOXIPRIDE,1990
CHEMBL288441,BOSUTINIB,2012
CHEMBL1201421,PEGAPTANIB SODIUM,2004
CHEMBL1201537,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,1958
CHEMBL1201606,IBRITUMOMAB TIUXETAN,2002
CHEMBL1201717,MECASERMIN RINFABATE,2005
CHEMBL1201201,METHAMPHETAMINE,1943
CHEMBL1467,ALLOPURINOL,1966
CHEMBL100116,PENTAZOCINE,1967
CHEMBL1200622,PARICALCITOL,1998
CHEMBL1201255,HISTRELIN,1991
CHEMBL1200709,CROTAMITON,1949
CHEMBL1200920,ISOETHARINE HYDROCHLORIDE,1979
CHEMBL1201016,CEFPODOXIME PROXETIL,1992
CHEMBL1201184,LANREOTIDE ACETATE,2007
CHEMBL1201653,INSULIN ZINC SUSP PURIFIED PORK,1979
CHEMBL1201150,SUMATRIPTAN SUCCINATE,1992
CHEMBL1200385,ARBUTAMINE HYDROCHLORIDE,1997
CHEMBL1200810,DOXERCALCIFEROL,1999
CHEMBL175247,ORLISTAT,1999
CHEMBL55400,PROFLAVINE,None
CHEMBL1200809,AZELASTINE HYDROCHLORIDE,1996
CHEMBL251634,FLUOCORTOLONE,None
CHEMBL563,FLURBIPROFEN,1986
CHEMBL403664,BLEOMYCIN,1973
CHEMBL252518,ARTENIMOL,None
CHEMBL252556,IDEBENONE,2015
CHEMBL1159650,CLOBETASOL PROPIONATE,1985
CHEMBL119423,TISOPURINE,None
CHEMBL315795,CLOMETHIAZOLE,None
CHEMBL297302,BENPERIDOL,None
CHEMBL1201476,ENOXAPARIN SODIUM,1993
CHEMBL1200696,POTASSIUM PERCHLORATE,1974
CHEMBL1229846,PHENOXYETHANOL,None
CHEMBL301267,ARTEMOTIL,None
CHEMBL374975,FUSIDIC ACID,None
CHEMBL457299,MACROGOL,None
CHEMBL255044,FLUPIRTINE,None
CHEMBL506247,TANNIC ACID,None
CHEMBL121626,TOLFENAMIC ACID,None
CHEMBL1140,NIACINAMIDE,None
CHEMBL254857,FIPEXIDE,None
CHEMBL299400,BUTORPHANOL TARTRATE,1978
CHEMBL207538,BREXANOLONE,2019
CHEMBL363295,TERODILINE,1986
CHEMBL1730,CEFOTAXIME,1981
CHEMBL1742990,BELATACEPT,2011
CHEMBL1742991,BENRALIZUMAB,2017
CHEMBL1742992,BLINATUMOMAB,2014
CHEMBL1742994,BRENTUXIMAB VEDOTIN,2011
CHEMBL1742996,BRODALUMAB,2017
CHEMBL1743043,MOXETUMOMAB PASUDOTOX,2018
CHEMBL583,GREPAFLOXACIN,1997
CHEMBL776,METAPROTERENOL,1973
CHEMBL1743047,NECITUMUMAB,2015
CHEMBL1743048,OBINUTUZUMAB,2013
CHEMBL1743049,OLARATUMAB,2016
CHEMBL1481,GLIMEPIRIDE,1995
CHEMBL242580,CICLOPIROX OLAMINE,None
CHEMBL1863515,GLUCARPIDASE,2012
CHEMBL1208155,ELAGOLIX,2018
CHEMBL1743062,RAMUCIRUMAB,2014
CHEMBL1743068,SECUKINUMAB,2015
CHEMBL1743070,SILTUXIMAB,2014
CHEMBL1743078,TEPLIZUMAB,2022
CHEMBL1743079,TEPROTUMUMAB,2020
CHEMBL1743081,TRALOKINUMAB,2021
CHEMBL203321,BRINCIDOFOVIR,2021
CHEMBL1089318,OPICAPONE,2020
CHEMBL1790041,RANITIDINE,1983
CHEMBL125,MILTEFOSINE,2014
CHEMBL1363,ARFORMOTEROL,2006
CHEMBL188921,BUFLOMEDIL,None
CHEMBL1399,ANASTROZOLE,1995
CHEMBL461101,ELTROMBOPAG,2008
CHEMBL502135,XYLOSE,None
CHEMBL1789843,BELIMUMAB,2011
CHEMBL1789844,IPILIMUMAB,2011
CHEMBL1263,SALMETEROL,1994
CHEMBL1286,LEVETIRACETAM,1999
CHEMBL2010601,IVACAFTOR,2012
CHEMBL1788385,TILBROQUINOL,None
CHEMBL1788386,TETRAMETHRIN,None
CHEMBL1788403,BIOALLETHRIN,None
CHEMBL1055,CHLORTHALIDONE,1960
CHEMBL86882,ETILEFRINE,None
CHEMBL1205,NELFINAVIR MESYLATE,1997
CHEMBL1200339,PHENYLEPHRINE HYDROCHLORIDE,1952
CHEMBL1578,ANISOTROPINE METHYLBROMIDE,1962
CHEMBL1082607,SALMETEROL XINAFOATE,1994
CHEMBL1742982,AFLIBERCEPT,2011
CHEMBL1089221,BENDAZAC,1984
CHEMBL1006,AMIFOSTINE,1995
CHEMBL1034,DICLOFENAC SODIUM,1988
CHEMBL1054,TRICHLORMETHIAZIDE,1960
CHEMBL1744033,BISMUTH SUBCITRATE,None
CHEMBL1590,PSEUDOEPHEDRINE,1963
CHEMBL894,BUPROPION,1985
CHEMBL53292,ISOXICAM,None
CHEMBL54126,NEOSTIGMINE BROMIDE,None
CHEMBL58510,CHLOROQUINE PHOSPHATE,1949
CHEMBL960,LEFLUNOMIDE,1998
CHEMBL376140,TIGECYCLINE,2005
CHEMBL1444,LETROZOLE,1997
CHEMBL376488,BEDAQUILINE,2012
CHEMBL1475,TRIOXSALEN,1964
CHEMBL447868,SODIUM SALICYLATE,None
CHEMBL64391,ITRACONAZOLE,1992
CHEMBL65794,CEFPIROME,None
CHEMBL1297,FENOPROFEN,1976
CHEMBL600325,PROSCILLARIDIN,None
CHEMBL911,ZOLPIDEM,1992
CHEMBL959,RIMANTADINE,1993
CHEMBL1172,DESLORATADINE,2001
CHEMBL483254,PANOBINOSTAT,2015
CHEMBL1208642,THIOSULFURIC ACID,1992
CHEMBL1779710,EVOGLIPTIN,2015
CHEMBL1511957,PIPERIDOLATE HYDROCHLORIDE,None
CHEMBL1256696,CARBETAPENTANE CITRATE,None
CHEMBL2068724,ACAMPROSATE CALCIUM,2004
CHEMBL1741,CLARITHROMYCIN,1991
CHEMBL1760,TERBUTALINE,None
CHEMBL1200473,CYCLOPENTOLATE HYDROCHLORIDE,1974
CHEMBL1479,DANAZOL,1976
CHEMBL1378,THIETHYLPERAZINE,1961
CHEMBL1170,TESTOSTERONE PROPIONATE,1974
CHEMBL1077,BROMFENAC,1997
CHEMBL1289,HALOPROGIN,1982
CHEMBL524004,MEPENZOLATE,1956
CHEMBL1200356,CYCLACILLIN,1979
CHEMBL70418,CLOBAZAM,2005
CHEMBL646,TRIAZOLAM,1978
CHEMBL1863513,INGENOL MEBUTATE,2010
CHEMBL1863514,ASPARAGINASE ERWINIA CHRYSANTHEMI,2011
CHEMBL1200479,DICYCLOMINE HYDROCHLORIDE,1950
CHEMBL1201251,ARBUTAMINE,1997
CHEMBL1201256,TRIMETHOBENZAMIDE,1974
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,1976
CHEMBL1200749,LEVOBUPIVACAINE HYDROCHLORIDE,1999
CHEMBL1200624,ETHYNODIOL DIACETATE,1966
CHEMBL1200769,TRIPELENNAMINE CITRATE,1948
CHEMBL1201060,LOXAPINE HYDROCHLORIDE,1976
CHEMBL1200881,MINOCYCLINE HYDROCHLORIDE,1971
CHEMBL1200690,LYPRESSIN,1982
CHEMBL1200837,LEVOBETAXOLOL HYDROCHLORIDE,2000
CHEMBL1200725,SERTACONAZOLE NITRATE,2003
CHEMBL1200851,HOMATROPINE METHYLBROMIDE,1943
CHEMBL1201291,IOXAGLIC ACID,1985
CHEMBL1200570,MEGLUMINE,None
CHEMBL1200695,PHENYLPROPANOLAMINE HYDROCHLORIDE,1958
CHEMBL1200645,ETOPOSIDE PHOSPHATE,1996
CHEMBL1201052,MESORIDAZINE BESYLATE,1970
CHEMBL1201239,IODAMIDE,None
CHEMBL1201347,ANILERIDINE,1982
CHEMBL1201162,DORZOLAMIDE HYDROCHLORIDE,1994
CHEMBL1200928,ZINC ACETATE ANHYDROUS,2004
CHEMBL1200772,WARFARIN POTASSIUM,1982
CHEMBL1201117,METHOCARBAMOL,1957
CHEMBL1201216,DAPIPRAZOLE,1990
CHEMBL1200994,GALLIUM CITRATE GA 67,1976
CHEMBL1201152,NALMEFENE HYDROCHLORIDE,1995
CHEMBL1201195,CEFMETAZOLE,1989
CHEMBL1795071,RUXOLITINIB PHOSPHATE,2011
CHEMBL1448,NICLOSAMIDE,1982
CHEMBL539697,DABIGATRAN ETEXILATE,2008
CHEMBL1729,CISAPRIDE,1993
CHEMBL1201242,INDECAINIDE,1989
CHEMBL1201328,CARPHENAZINE,1982
CHEMBL1201171,PRAMOXINE HYDROCHLORIDE,1976
CHEMBL1200638,DEXBROMPHENIRAMINE MALEATE,1963
CHEMBL1200562,HYDROCORTISONE VALERATE,1978
CHEMBL1200678,ATAZANAVIR SULFATE,2003
CHEMBL1201232,ISOPROPAMIDE,1957
CHEMBL1200854,FLUPHENAZINE DECANOATE,1972
CHEMBL1200503,BROMOCRIPTINE MESYLATE,1978
CHEMBL1201075,IOXILAN,1995
CHEMBL1201078,INDIUM IN 111 CHLORIDE,1992
CHEMBL1200530,CEFOXITIN SODIUM,1978
CHEMBL1200935,DARIFENACIN HYDROBROMIDE,2004
CHEMBL1201247,GOSERELIN,1989
CHEMBL1201248,CISATRACURIUM,1995
CHEMBL1201263,HYDROCORTAMATE,1956
CHEMBL1200979,DEXPANTHENOL,1985
CHEMBL532,ERYTHROMYCIN,1964
CHEMBL1788132,LOFEXIDINE HYDROCHLORIDE,2018
CHEMBL1789941,RUXOLITINIB,2011
CHEMBL1693,DIETHYLPROPION HYDROCHLORIDE,1959
CHEMBL1755,CONIVAPTAN,2005
CHEMBL3286830,LORLATINIB,2018
CHEMBL3301581,ABALOPARATIDE,2017
CHEMBL3301582,POLATUZUMAB VEDOTIN,2019
CHEMBL3301583,ANDEXANET ALFA,2019
CHEMBL3301587,DURVALUMAB,2017
CHEMBL3301589,ENFORTUMAB VEDOTIN,2019
CHEMBL3301592,SODIUM ZIRCONIUM CYCLOSILICATE,2018
CHEMBL3301597,FERRIC CITRATE,2014
CHEMBL3301598,FOSTEMSAVIR TROMETHAMINE,2020
CHEMBL3301605,RELEBACTAM,2019
CHEMBL3301607,FILGOTINIB,2020
CHEMBL3301611,AMIFAMPRIDINE PHOSPHATE,2009
CHEMBL3301612,ENCORAFENIB,2018
CHEMBL3301622,GILTERITINIB,2018
CHEMBL3301624,SETMELANOTIDE,2020
CHEMBL3301627,TENAPANOR HYDROCHLORIDE,2019
CHEMBL3301650,DALBAVANCIN HYDROCHLORIDE,2014
CHEMBL3301670,DIFEMERINE HYDROCHLORIDE,None
CHEMBL3301675,LINACLOTIDE,2012
CHEMBL3301680,TELAVANCIN HYDROCHLORIDE,2009
CHEMBL3291398,LEFAMULIN,2019
CHEMBL3311228,OTESECONAZOLE,2022
CHEMBL3301572,NUSINERSEN,None
CHEMBL3301594,FOSTEMSAVIR,2020
CHEMBL3301678,MONOCTANOIN,1985
CHEMBL3391662,PARITAPREVIR,2014
CHEMBL3392049,PYRITHIONE ZINC,1986
CHEMBL70927,DEFERIPRONE,1999
CHEMBL3351077,CEFSULODIN,None
CHEMBL3348963,TELOTRISTAT ETIPRATE,2017
CHEMBL3358920,ETRASIMOD,2023
CHEMBL5219790,CETRIMIDE,None
CHEMBL5219994,ACRIFLAVINE,None
CHEMBL1200458,POTASSIUM CITRATE ANHYDROUS,1985
CHEMBL5095505,AMPHETAMINE/DEXTROAMPHETAMINE,2015
CHEMBL276568,CEFPROZIL ANHYDROUS, (E)-,1991
CHEMBL278398,PHENINDAMINE,None
CHEMBL290916,EDARAVONE,2017
CHEMBL717,MEDROXYPROGESTERONE ACETATE,1959
CHEMBL788,IDOXURIDINE,1963
CHEMBL16,PHENYTOIN,1953
CHEMBL1356,SODIUM BENZOATE,1987
CHEMBL1013,LORACARBEF ANHYDROUS,1991
CHEMBL2107145,MAGNESIUM GLUCONATE,None
CHEMBL3989678,PIPERAZINE CITRATE,1954
CHEMBL4297516,LURBINECTEDIN,2020
CHEMBL4298184,MAFTIVIMAB,2020
CHEMBL3301574,TISAGENLECLEUCEL,2018
CHEMBL3301668,CARBETOCIN,None
CHEMBL4594395,POTASSIUM OXYBATE,2020
CHEMBL5303393,VARENICLINE TARTRATE,2006
CHEMBL108,CARBAMAZEPINE,1968
CHEMBL554,LAPATINIB,2007
CHEMBL539,ACETIC ACID,None
CHEMBL550,PILOCARPINE,1974
CHEMBL112,ACETAMINOPHEN,1968
CHEMBL15245,YOHIMBINE,None
CHEMBL107,COLCHICINE,1961
CHEMBL109,VALPROIC ACID,1978
CHEMBL564,PROMAZINE,1956
CHEMBL15891,LINDANE,1974
CHEMBL569,PROCAINE,1954
CHEMBL558,MEXILETINE,1985
CHEMBL559,DEXTROTHYROXINE,1967
CHEMBL609,TRIENTINE,1985
CHEMBL622,ETODOLAC,1991
CHEMBL139,DICLOFENAC,1988
CHEMBL23588,FLUFENAMIC ACID,None
CHEMBL19236,MOXONIDINE,1991
CHEMBL641,ATOMOXETINE,2002
CHEMBL607,MEPERIDINE,1942
CHEMBL689,MANNITOL,2012
CHEMBL19224,PAPAVERINE,None
CHEMBL700,SULFAPYRIDINE,1939
CHEMBL716,QUETIAPINE,1997
CHEMBL24828,VANDETANIB,2011
CHEMBL940,GABAPENTIN,1993
CHEMBL621,TRAZODONE,1981
CHEMBL658,SUFENTANIL,1984
CHEMBL706,CETYL ALCOHOL,1990
CHEMBL24944,TRIBROMSALAN,None
CHEMBL601,AMINOLEVULINIC ACID,None
CHEMBL1201489,SERACTIDE ACETATE,1978
CHEMBL1201468,ESTROGENS, ESTERIFIED,1977
CHEMBL639,AZELASTINE,1996
CHEMBL640,PROCAINAMIDE,1950
CHEMBL652,FLECAINIDE,1985
CHEMBL708,ZIPRASIDONE,2001
CHEMBL685,MEBENDAZOLE,1974
CHEMBL728,PROCHLORPERAZINE,1956
CHEMBL591,ETHCHLORVYNOL,1961
CHEMBL628,PENTOXIFYLLINE,1984
CHEMBL642,ACEBUTOLOL,1984
CHEMBL137,METRONIDAZOLE,1963
CHEMBL24072,PRENYLAMINE,None
CHEMBL141,LAMIVUDINE,1995
CHEMBL661,ALPRAZOLAM,1981
CHEMBL594,EMEDASTINE,1997
CHEMBL24147,RESORCINOL,None
CHEMBL709,ALFUZOSIN,2003
CHEMBL19449,IBUDILAST,1989
CHEMBL647,APRACLONIDINE,1987
CHEMBL623,NEFAZODONE,1994
CHEMBL22108,DIMETHINDENE,None
CHEMBL659,GALANTAMINE,2001
CHEMBL698,TETRACAINE,2005
CHEMBL720,BENZYL ALCOHOL,2009
CHEMBL28218,BROMPERIDOL,None
CHEMBL1214,CARBENICILLIN,None
CHEMBL1229,OSELTAMIVIR,1999
CHEMBL1290,PENBUTOLOL,1987
CHEMBL1271,PENTOLINIUM,1982
CHEMBL1280,VERAPAMIL HYDROCHLORIDE,1981
CHEMBL1308,FOMEPIZOLE,1997
CHEMBL1239,BENZYL BENZOATE,1976
CHEMBL142438,NITROGEN,2015
CHEMBL1255,FORMALDEHYDE,None
CHEMBL51,KETANSERIN,None
CHEMBL415,CLOMIPRAMINE,1989
CHEMBL17,DICHLORPHENAMIDE,1958
CHEMBL1430,PENICILLAMINE,1970
CHEMBL59,DOPAMINE,None
CHEMBL1539,SULFADOXINE,1981
CHEMBL29,BENZYLPENICILLIN,1947
CHEMBL448,PENTOBARBITAL,1973
CHEMBL270190,ALVIMOPAN,2008
CHEMBL64,ISONIAZID,1952
CHEMBL445,NORTRIPTYLINE,1964
CHEMBL490,PAROXETINE,1992
CHEMBL498,CHLORPROPAMIDE,1958
